cohort,treatment,grams_fed,SFN_fed,seed_batch
1,BU,71,135.8,1
1,BL,58,160.5,1
2,BU,64,151.6,1
2,BL,54,161.7,1
3,BU,40,81.3,1
3,BL,35,89.2,1
4,BU,30.4,100,1
4,BL,41.6,100,1
5,BU,47.1,100,1
5,BL,36.38,100,1
6,BU,29.03,100,1
6,BL,29.66,100,1
7,BU,28.9,100,1
7,BL,22,100,1
8,BU,26.5,100,2
8,BL,34.5,100,2
1,AU,71,0,1
1,AL,58,0,1
2,AU,64,0,1
2,AL,54,0,1
3,AU,40,0,1
3,AL,35,0,1
4,AU,30.4,0,1
4,AL,41.6,0,1
5,AU,47.1,0,1
5,AL,36.38,0,1
6,AU,29.03,0,1
6,AL,29.66,0,1
7,AU,28.9,0,1
7,AL,22,0,1
8,AU,26.5,0,1
8,AL,34.5,0,1
